Length,Frequency,Region,Year
70,25,YSC1,2007
80,71,YSC1,2007
90,188,YSC1,2007
100,451,YSC1,2007
110,544,YSC1,2007
120,365,YSC1,2007
130,248,YSC1,2007
140,184,YSC1,2007
150,135,YSC1,2007
160,63,YSC1,2007
170,37,YSC1,2007
180,13,YSC1,2007
26,15,YSC2,2011
36,25,YSC2,2011
46,14,YSC2,2011
56,2,YSC2,2011
66,8,YSC2,2011
76,71,YSC2,2011
86,83,YSC2,2011
96,78,YSC2,2011
106,136,YSC2,2011
116,157,YSC2,2011
126,149,YSC2,2011
136,111,YSC2,2011
146,45,YSC2,2011
156,16,YSC2,2011
166,2,YSC2,2011
176,3,YSC2,2011
186,3,YSC2,2011
61,1,YSC2,2013
68,1,YSC2,2013
77,3,YSC2,2013
87,3,YSC2,2013
95,3,YSC2,2013
104,6,YSC2,2013
112,14,YSC2,2013
122,10,YSC2,2013
130,11,YSC2,2013
140,19,YSC2,2013
149,8,YSC2,2013
158,1,YSC2,2013
167,1,YSC2,2013
183,0,YSC2,2013
202,1,YSC2,2013
85,1,YSC2,2014
95,2,YSC2,2014
104,5,YSC2,2014
112.5,9,YSC2,2014
122,8,YSC2,2014
130.5,9,YSC2,2014
140,9,YSC2,2014
150,12,YSC2,2014
159,6,YSC2,2014
203.5,1,YSC2,2014
40.5,6,YSC2,2015
49,34,YSC2,2015
58,38,YSC2,2015
68,33,YSC2,2015
77,71,YSC2,2015
85.5,88,YSC2,2015
95.5,59,YSC2,2015
103.5,37,YSC2,2015
113,51,YSC2,2015
121.5,31,YSC2,2015
131.5,15,YSC2,2015
141,8,YSC2,2015
150.5,8,YSC2,2015
160,3,YSC2,2015
167,4,YSC2,2015
86.5,2,YSC2,2016
94,20,YSC2,2016
103,46,YSC2,2016
112.5,28,YSC2,2016
122,22,YSC2,2016
130.5,13,YSC2,2016
140,13,YSC2,2016
148.5,11,YSC2,2016
158,7,YSC2,2016
167,4,YSC2,2016
185,3,YSC2,2016
66,5,YSC2,2018
71,7,YSC3,2018
76,36,YSC3+2,2018
81,16,YSC3,2018
86,89,YSC3+2,2018
91,34,YSC3,2018
96,105,YSC3+2,2018
101.5,71,YSC3+2,2018
106.5,25,YSC3,2018
111.5,41,YSC3+2,2018
116,11,YSC3,2018
121,20,YSC3+2,2018
126.5,10,YSC3,2018
131,10,YSC3+2,2018
136,8,YSC3+2,2018
151,13,YSC3+2,2018
161.5,6,YSC3,2018
28,6,YSC3,2017
33,11,YSC3,2017
38.5,14,YSC3,2017
43.5,7,YSC3,2017
48.5,3,YSC3,2017
54,3,YSC3,2017
59,4,YSC3,2017
64,11,YSC3+2,2017
69,8,YSC3,2017
75,38,YSC3+2,2017
80.5,17,YSC3,2017
85.5,58,YSC3+2,2017
90,26,YSC3,2017
95,73,YSC3,2017
100,66,YSC3,2017
105,25,YSC3,2017
110.5,51,YSC3,2017
115,46,YSC3+2,2017
120.5,48,YSC3,2017
125.5,11,YSC3,2017
130,28,YSC3+2,2017
135,6,YSC3,2017
140.5,17,YSC3,2017
145.5,5,YSC3,2017
149,19,YSC3,2017
158,5,YSC2,2017
167,4,YSC2,2017
183.5,3,YSC2,2017
193,3,YSC2,2017
